Namespace(lr=0.01, optim='sgd', num_workers=4, data_path='/scratch/yl7897/dataset', cpu_only=False, batch_size=128)
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
[INFO]: Device: cuda
==> Building model..
Train Loss: 1.806 | Acc: 35.352% (17676/50000)
Validate Loss: 1.388 | Acc: 48.280% (4828/10000)
Train Loss: 1.192 | Acc: 56.972% (28486/50000)
Validate Loss: 1.110 | Acc: 60.570% (6057/10000)
Train Loss: 0.914 | Acc: 67.622% (33811/50000)
Validate Loss: 0.949 | Acc: 67.110% (6711/10000)
Train Loss: 0.731 | Acc: 74.374% (37187/50000)
Validate Loss: 0.741 | Acc: 75.240% (7524/10000)
Train Loss: 0.610 | Acc: 78.920% (39460/50000)
Validate Loss: 0.631 | Acc: 77.710% (7771/10000)
Train Loss: 0.527 | Acc: 81.876% (40938/50000)
Validate Loss: 0.611 | Acc: 78.840% (7884/10000)
Train Loss: 0.469 | Acc: 83.848% (41924/50000)
Validate Loss: 0.545 | Acc: 81.190% (8119/10000)
Train Loss: 0.420 | Acc: 85.510% (42755/50000)
Validate Loss: 0.496 | Acc: 82.480% (8248/10000)
Train Loss: 0.377 | Acc: 86.902% (43451/50000)
Validate Loss: 0.467 | Acc: 83.920% (8392/10000)
Train Loss: 0.354 | Acc: 87.678% (43839/50000)
Validate Loss: 0.448 | Acc: 84.560% (8456/10000)
Train Loss: 0.323 | Acc: 88.738% (44369/50000)
Validate Loss: 0.447 | Acc: 85.750% (8575/10000)
Train Loss: 0.305 | Acc: 89.470% (44735/50000)
Validate Loss: 0.488 | Acc: 83.700% (8370/10000)
Train Loss: 0.283 | Acc: 90.246% (45123/50000)
Validate Loss: 0.446 | Acc: 85.180% (8518/10000)
Train Loss: 0.264 | Acc: 90.906% (45453/50000)
Validate Loss: 0.398 | Acc: 86.790% (8679/10000)
Train Loss: 0.250 | Acc: 91.154% (45577/50000)
Validate Loss: 0.403 | Acc: 86.470% (8647/10000)
Train Loss: 0.238 | Acc: 91.680% (45840/50000)
Validate Loss: 0.532 | Acc: 83.190% (8319/10000)
Train Loss: 0.229 | Acc: 91.932% (45966/50000)
Validate Loss: 0.391 | Acc: 87.130% (8713/10000)
Train Loss: 0.214 | Acc: 92.596% (46298/50000)
Validate Loss: 0.410 | Acc: 87.190% (8719/10000)
Train Loss: 0.202 | Acc: 92.910% (46455/50000)
Validate Loss: 0.366 | Acc: 88.290% (8829/10000)
Train Loss: 0.189 | Acc: 93.422% (46711/50000)
Validate Loss: 0.377 | Acc: 87.820% (8782/10000)
Train Loss: 0.186 | Acc: 93.544% (46772/50000)
Validate Loss: 0.385 | Acc: 88.090% (8809/10000)
Train Loss: 0.178 | Acc: 93.792% (46896/50000)
Validate Loss: 0.353 | Acc: 88.820% (8882/10000)
Train Loss: 0.170 | Acc: 94.036% (47018/50000)
Validate Loss: 0.342 | Acc: 89.000% (8900/10000)
Train Loss: 0.159 | Acc: 94.450% (47225/50000)
Validate Loss: 0.328 | Acc: 89.250% (8925/10000)
Train Loss: 0.156 | Acc: 94.578% (47289/50000)
Validate Loss: 0.403 | Acc: 87.490% (8749/10000)
Train Loss: 0.154 | Acc: 94.538% (47269/50000)
Validate Loss: 0.392 | Acc: 88.140% (8814/10000)
Train Loss: 0.142 | Acc: 95.068% (47534/50000)
Validate Loss: 0.342 | Acc: 89.490% (8949/10000)
Train Loss: 0.138 | Acc: 95.222% (47611/50000)
Validate Loss: 0.363 | Acc: 88.650% (8865/10000)
Train Loss: 0.135 | Acc: 95.330% (47665/50000)
Validate Loss: 0.362 | Acc: 89.050% (8905/10000)
Train Loss: 0.128 | Acc: 95.514% (47757/50000)
Validate Loss: 0.323 | Acc: 90.090% (9009/10000)
Train Loss: 0.131 | Acc: 95.318% (47659/50000)
Validate Loss: 0.327 | Acc: 89.810% (8981/10000)
Train Loss: 0.120 | Acc: 95.682% (47841/50000)
Validate Loss: 0.373 | Acc: 88.790% (8879/10000)
Train Loss: 0.117 | Acc: 95.864% (47932/50000)
Validate Loss: 0.321 | Acc: 90.100% (9010/10000)
Train Loss: 0.115 | Acc: 95.990% (47995/50000)
Validate Loss: 0.303 | Acc: 90.390% (9039/10000)
Train Loss: 0.114 | Acc: 95.998% (47999/50000)
Validate Loss: 0.335 | Acc: 89.450% (8945/10000)
Train Loss: 0.115 | Acc: 95.894% (47947/50000)
Validate Loss: 0.355 | Acc: 89.380% (8938/10000)
Train Loss: 0.107 | Acc: 96.184% (48092/50000)
Validate Loss: 0.385 | Acc: 88.400% (8840/10000)
Train Loss: 0.105 | Acc: 96.374% (48187/50000)
Validate Loss: 0.331 | Acc: 89.840% (8984/10000)
Train Loss: 0.099 | Acc: 96.516% (48258/50000)
Validate Loss: 0.340 | Acc: 89.700% (8970/10000)
Train Loss: 0.099 | Acc: 96.408% (48204/50000)
Validate Loss: 0.344 | Acc: 90.040% (9004/10000)
Train Loss: 0.098 | Acc: 96.580% (48290/50000)
Validate Loss: 0.295 | Acc: 90.990% (9099/10000)
Train Loss: 0.099 | Acc: 96.534% (48267/50000)
Validate Loss: 0.361 | Acc: 89.000% (8900/10000)
Train Loss: 0.094 | Acc: 96.760% (48380/50000)
Validate Loss: 0.311 | Acc: 90.690% (9069/10000)
Train Loss: 0.090 | Acc: 96.894% (48447/50000)
Validate Loss: 0.324 | Acc: 90.380% (9038/10000)
Train Loss: 0.093 | Acc: 96.694% (48347/50000)
Validate Loss: 0.329 | Acc: 90.190% (9019/10000)
Train Loss: 0.086 | Acc: 96.986% (48493/50000)
Validate Loss: 0.394 | Acc: 89.190% (8919/10000)
Train Loss: 0.090 | Acc: 96.856% (48428/50000)
Validate Loss: 0.342 | Acc: 90.020% (9002/10000)
Train Loss: 0.090 | Acc: 96.730% (48365/50000)
Validate Loss: 0.288 | Acc: 90.680% (9068/10000)
Train Loss: 0.086 | Acc: 97.018% (48509/50000)
Validate Loss: 0.325 | Acc: 90.330% (9033/10000)
Train Loss: 0.086 | Acc: 96.934% (48467/50000)
Validate Loss: 0.336 | Acc: 89.790% (8979/10000)
Train Loss: 0.085 | Acc: 97.024% (48512/50000)
Validate Loss: 0.347 | Acc: 89.980% (8998/10000)
Train Loss: 0.084 | Acc: 97.036% (48518/50000)
Validate Loss: 0.309 | Acc: 91.030% (9103/10000)
Train Loss: 0.079 | Acc: 97.198% (48599/50000)
