Namespace(lr=0.01, optim='sgd', num_workers=4, data_path='/scratch/yl7897/dataset', cpu_only=False, batch_size=128)
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
[INFO]: Device: cuda
==> Building model..
Train Loss: 1.795 | Acc: 35.622% (17811/50000)
Validate Loss: 1.492 | Acc: 47.910% (4791/10000)
Train Loss: 1.198 | Acc: 56.766% (28383/50000)
Validate Loss: 1.203 | Acc: 58.670% (5867/10000)
Train Loss: 0.943 | Acc: 66.638% (33319/50000)
Validate Loss: 0.939 | Acc: 67.930% (6793/10000)
Train Loss: 0.748 | Acc: 74.078% (37039/50000)
Validate Loss: 0.761 | Acc: 73.950% (7395/10000)
Train Loss: 0.634 | Acc: 77.936% (38968/50000)
Validate Loss: 0.600 | Acc: 79.450% (7945/10000)
Train Loss: 0.544 | Acc: 81.372% (40686/50000)
Validate Loss: 0.527 | Acc: 82.160% (8216/10000)
Train Loss: 0.482 | Acc: 83.388% (41694/50000)
Validate Loss: 0.569 | Acc: 80.430% (8043/10000)
Train Loss: 0.434 | Acc: 84.906% (42453/50000)
Validate Loss: 0.513 | Acc: 82.870% (8287/10000)
Train Loss: 0.394 | Acc: 86.370% (43185/50000)
Validate Loss: 0.640 | Acc: 79.700% (7970/10000)
Train Loss: 0.364 | Acc: 87.338% (43669/50000)
Validate Loss: 0.480 | Acc: 84.030% (8403/10000)
Train Loss: 0.333 | Acc: 88.476% (44238/50000)
Validate Loss: 0.422 | Acc: 85.840% (8584/10000)
Train Loss: 0.310 | Acc: 89.226% (44613/50000)
Validate Loss: 0.419 | Acc: 85.640% (8564/10000)
Train Loss: 0.286 | Acc: 90.104% (45052/50000)
Validate Loss: 0.424 | Acc: 86.050% (8605/10000)
Train Loss: 0.271 | Acc: 90.656% (45328/50000)
Validate Loss: 0.376 | Acc: 87.300% (8730/10000)
Train Loss: 0.256 | Acc: 91.072% (45536/50000)
Validate Loss: 0.425 | Acc: 85.960% (8596/10000)
Train Loss: 0.241 | Acc: 91.642% (45821/50000)
Validate Loss: 0.403 | Acc: 86.740% (8674/10000)
Train Loss: 0.225 | Acc: 92.156% (46078/50000)
Validate Loss: 0.402 | Acc: 87.310% (8731/10000)
Train Loss: 0.214 | Acc: 92.564% (46282/50000)
Validate Loss: 0.386 | Acc: 87.090% (8709/10000)
Train Loss: 0.202 | Acc: 93.030% (46515/50000)
Validate Loss: 0.366 | Acc: 88.240% (8824/10000)
Train Loss: 0.200 | Acc: 92.968% (46484/50000)
Validate Loss: 0.411 | Acc: 87.240% (8724/10000)
Train Loss: 0.189 | Acc: 93.290% (46645/50000)
Validate Loss: 0.400 | Acc: 87.300% (8730/10000)
Train Loss: 0.179 | Acc: 93.762% (46881/50000)
Validate Loss: 0.362 | Acc: 88.490% (8849/10000)
Train Loss: 0.170 | Acc: 94.176% (47088/50000)
Validate Loss: 0.329 | Acc: 89.190% (8919/10000)
Train Loss: 0.160 | Acc: 94.402% (47201/50000)
Validate Loss: 0.347 | Acc: 89.210% (8921/10000)
Train Loss: 0.157 | Acc: 94.414% (47207/50000)
Validate Loss: 0.325 | Acc: 89.800% (8980/10000)
Train Loss: 0.150 | Acc: 94.724% (47362/50000)
Validate Loss: 0.427 | Acc: 86.790% (8679/10000)
Train Loss: 0.142 | Acc: 95.072% (47536/50000)
Validate Loss: 0.415 | Acc: 88.000% (8800/10000)
Train Loss: 0.144 | Acc: 94.952% (47476/50000)
