Namespace(lr=0.01, optim='sgd', num_workers=4, data_path='/scratch/yl7897/dataset', cpu_only=False, batch_size=128)
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
[INFO]: Device: cuda
==> Building model..
Train Loss: 1.780 | Acc: 36.354% (18177/50000)
Validate Loss: 1.601 | Acc: 46.130% (4613/10000)
Train Loss: 1.250 | Acc: 54.932% (27466/50000)
Validate Loss: 1.134 | Acc: 59.480% (5948/10000)
Train Loss: 0.969 | Acc: 65.748% (32874/50000)
Validate Loss: 1.031 | Acc: 66.000% (6600/10000)
Train Loss: 0.766 | Acc: 73.370% (36685/50000)
Validate Loss: 0.760 | Acc: 74.270% (7427/10000)
Train Loss: 0.641 | Acc: 77.898% (38949/50000)
Validate Loss: 0.664 | Acc: 77.450% (7745/10000)
Train Loss: 0.559 | Acc: 80.750% (40375/50000)
Validate Loss: 0.634 | Acc: 78.920% (7892/10000)
Train Loss: 0.484 | Acc: 83.290% (41645/50000)
Validate Loss: 0.545 | Acc: 81.620% (8162/10000)
Train Loss: 0.436 | Acc: 85.048% (42524/50000)
Validate Loss: 0.530 | Acc: 81.530% (8153/10000)
Train Loss: 0.399 | Acc: 86.238% (43119/50000)
Validate Loss: 0.466 | Acc: 84.260% (8426/10000)
Train Loss: 0.367 | Acc: 87.430% (43715/50000)
Validate Loss: 0.533 | Acc: 82.690% (8269/10000)
Train Loss: 0.338 | Acc: 88.376% (44188/50000)
Validate Loss: 0.506 | Acc: 83.430% (8343/10000)
Train Loss: 0.319 | Acc: 89.000% (44500/50000)
Validate Loss: 0.510 | Acc: 83.360% (8336/10000)
Train Loss: 0.295 | Acc: 89.706% (44853/50000)
Validate Loss: 0.407 | Acc: 86.500% (8650/10000)
Train Loss: 0.274 | Acc: 90.488% (45244/50000)
Validate Loss: 0.481 | Acc: 85.760% (8576/10000)
Train Loss: 0.257 | Acc: 91.064% (45532/50000)
Validate Loss: 0.361 | Acc: 88.140% (8814/10000)
Train Loss: 0.241 | Acc: 91.734% (45867/50000)
Validate Loss: 0.394 | Acc: 87.410% (8741/10000)
Train Loss: 0.226 | Acc: 92.126% (46063/50000)
Validate Loss: 0.430 | Acc: 85.760% (8576/10000)
Train Loss: 0.217 | Acc: 92.380% (46190/50000)
Validate Loss: 0.387 | Acc: 87.870% (8787/10000)
Train Loss: 0.206 | Acc: 92.812% (46406/50000)
Validate Loss: 0.416 | Acc: 86.760% (8676/10000)
Train Loss: 0.196 | Acc: 93.152% (46576/50000)
Validate Loss: 0.397 | Acc: 87.470% (8747/10000)
Train Loss: 0.186 | Acc: 93.540% (46770/50000)
Validate Loss: 0.383 | Acc: 87.740% (8774/10000)
Train Loss: 0.183 | Acc: 93.526% (46763/50000)
Validate Loss: 0.344 | Acc: 89.190% (8919/10000)
Train Loss: 0.170 | Acc: 94.016% (47008/50000)
Validate Loss: 0.365 | Acc: 88.550% (8855/10000)
Train Loss: 0.162 | Acc: 94.228% (47114/50000)
Validate Loss: 0.346 | Acc: 89.340% (8934/10000)
Train Loss: 0.157 | Acc: 94.512% (47256/50000)
Validate Loss: 0.315 | Acc: 89.780% (8978/10000)
Train Loss: 0.148 | Acc: 94.884% (47442/50000)
Validate Loss: 0.386 | Acc: 88.240% (8824/10000)
Train Loss: 0.147 | Acc: 94.868% (47434/50000)
Validate Loss: 0.327 | Acc: 89.500% (8950/10000)
Train Loss: 0.142 | Acc: 95.000% (47500/50000)
Validate Loss: 0.329 | Acc: 89.700% (8970/10000)
Train Loss: 0.136 | Acc: 95.182% (47591/50000)
Validate Loss: 0.322 | Acc: 90.030% (9003/10000)
Train Loss: 0.131 | Acc: 95.306% (47653/50000)
Validate Loss: 0.425 | Acc: 87.760% (8776/10000)
Train Loss: 0.129 | Acc: 95.398% (47699/50000)
Validate Loss: 0.310 | Acc: 90.420% (9042/10000)
Train Loss: 0.123 | Acc: 95.714% (47857/50000)
Validate Loss: 0.340 | Acc: 89.630% (8963/10000)
Train Loss: 0.117 | Acc: 95.842% (47921/50000)
Validate Loss: 0.365 | Acc: 89.490% (8949/10000)
Train Loss: 0.116 | Acc: 95.826% (47913/50000)
Validate Loss: 0.351 | Acc: 89.680% (8968/10000)
Train Loss: 0.113 | Acc: 96.078% (48039/50000)
Validate Loss: 0.326 | Acc: 89.800% (8980/10000)
Train Loss: 0.116 | Acc: 95.914% (47957/50000)
Validate Loss: 0.325 | Acc: 89.680% (8968/10000)
Train Loss: 0.107 | Acc: 96.230% (48115/50000)
Validate Loss: 0.361 | Acc: 89.680% (8968/10000)
Train Loss: 0.107 | Acc: 96.210% (48105/50000)
Validate Loss: 0.310 | Acc: 90.560% (9056/10000)
Train Loss: 0.099 | Acc: 96.460% (48230/50000)
Validate Loss: 0.329 | Acc: 90.540% (9054/10000)
Train Loss: 0.104 | Acc: 96.272% (48136/50000)
Validate Loss: 0.354 | Acc: 89.740% (8974/10000)
Train Loss: 0.098 | Acc: 96.516% (48258/50000)
Validate Loss: 0.358 | Acc: 89.720% (8972/10000)
Train Loss: 0.097 | Acc: 96.564% (48282/50000)
Validate Loss: 0.334 | Acc: 90.530% (9053/10000)
Train Loss: 0.096 | Acc: 96.614% (48307/50000)
Validate Loss: 0.332 | Acc: 90.130% (9013/10000)
Train Loss: 0.092 | Acc: 96.840% (48420/50000)
Validate Loss: 0.321 | Acc: 90.640% (9064/10000)
Train Loss: 0.092 | Acc: 96.710% (48355/50000)
Validate Loss: 0.353 | Acc: 90.030% (9003/10000)
