Namespace(lr=0.01, optim='sgd', num_workers=4, data_path='/scratch/yl7897/dataset', cpu_only=False, batch_size=128)
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
[INFO]: Device: cuda
==> Building model..
Train Loss: 1.865 | Acc: 33.500% (16750/50000)
Validate Loss: 1.527 | Acc: 45.270% (4527/10000)
Train Loss: 1.269 | Acc: 54.114% (27057/50000)
Validate Loss: 1.103 | Acc: 61.500% (6150/10000)
Train Loss: 0.952 | Acc: 66.242% (33121/50000)
Validate Loss: 0.915 | Acc: 68.030% (6803/10000)
Train Loss: 0.773 | Acc: 73.082% (36541/50000)
Validate Loss: 0.838 | Acc: 70.600% (7060/10000)
Train Loss: 0.651 | Acc: 77.378% (38689/50000)
Validate Loss: 0.699 | Acc: 76.540% (7654/10000)
Train Loss: 0.554 | Acc: 80.988% (40494/50000)
Validate Loss: 0.559 | Acc: 80.810% (8081/10000)
Train Loss: 0.491 | Acc: 83.232% (41616/50000)
Validate Loss: 0.603 | Acc: 79.460% (7946/10000)
Train Loss: 0.455 | Acc: 84.474% (42237/50000)
Validate Loss: 0.606 | Acc: 80.040% (8004/10000)
Train Loss: 0.406 | Acc: 85.972% (42986/50000)
Validate Loss: 0.505 | Acc: 82.820% (8282/10000)
Train Loss: 0.378 | Acc: 86.884% (43442/50000)
Validate Loss: 0.493 | Acc: 83.300% (8330/10000)
Train Loss: 0.350 | Acc: 87.912% (43956/50000)
Validate Loss: 0.450 | Acc: 84.850% (8485/10000)
Train Loss: 0.328 | Acc: 88.614% (44307/50000)
Validate Loss: 0.471 | Acc: 84.130% (8413/10000)
Train Loss: 0.307 | Acc: 89.398% (44699/50000)
Validate Loss: 0.421 | Acc: 85.610% (8561/10000)
Train Loss: 0.288 | Acc: 90.108% (45054/50000)
Validate Loss: 0.402 | Acc: 86.660% (8666/10000)
Train Loss: 0.265 | Acc: 90.736% (45368/50000)
Validate Loss: 0.452 | Acc: 85.150% (8515/10000)
Train Loss: 0.259 | Acc: 91.028% (45514/50000)
Validate Loss: 0.424 | Acc: 85.800% (8580/10000)
Train Loss: 0.241 | Acc: 91.598% (45799/50000)
Validate Loss: 0.432 | Acc: 86.380% (8638/10000)
Train Loss: 0.227 | Acc: 92.038% (46019/50000)
Validate Loss: 0.383 | Acc: 87.260% (8726/10000)
Train Loss: 0.212 | Acc: 92.682% (46341/50000)
Validate Loss: 0.403 | Acc: 87.430% (8743/10000)
Train Loss: 0.205 | Acc: 92.792% (46396/50000)
Validate Loss: 0.372 | Acc: 88.420% (8842/10000)
Train Loss: 0.197 | Acc: 93.020% (46510/50000)
Validate Loss: 0.390 | Acc: 87.520% (8752/10000)
Train Loss: 0.187 | Acc: 93.460% (46730/50000)
Validate Loss: 0.367 | Acc: 87.980% (8798/10000)
Train Loss: 0.182 | Acc: 93.644% (46822/50000)
Validate Loss: 0.336 | Acc: 89.010% (8901/10000)
Train Loss: 0.167 | Acc: 94.130% (47065/50000)
Validate Loss: 0.371 | Acc: 88.240% (8824/10000)
Train Loss: 0.170 | Acc: 93.966% (46983/50000)
Validate Loss: 0.361 | Acc: 88.230% (8823/10000)
Train Loss: 0.158 | Acc: 94.452% (47226/50000)
Validate Loss: 0.358 | Acc: 88.820% (8882/10000)
Train Loss: 0.151 | Acc: 94.638% (47319/50000)
Validate Loss: 0.382 | Acc: 88.160% (8816/10000)
Train Loss: 0.151 | Acc: 94.662% (47331/50000)
Validate Loss: 0.338 | Acc: 89.530% (8953/10000)
Train Loss: 0.144 | Acc: 94.998% (47499/50000)
Validate Loss: 0.332 | Acc: 89.730% (8973/10000)
Train Loss: 0.135 | Acc: 95.190% (47595/50000)
Validate Loss: 0.348 | Acc: 89.460% (8946/10000)
Train Loss: 0.136 | Acc: 95.216% (47608/50000)
Validate Loss: 0.365 | Acc: 88.730% (8873/10000)
Train Loss: 0.128 | Acc: 95.504% (47752/50000)
Validate Loss: 0.337 | Acc: 89.730% (8973/10000)
Train Loss: 0.126 | Acc: 95.616% (47808/50000)
Validate Loss: 0.341 | Acc: 89.430% (8943/10000)
Train Loss: 0.122 | Acc: 95.764% (47882/50000)
