Namespace(lr=0.01, optim='sgd', num_workers=4, data_path='/scratch/yl7897/dataset', cpu_only=False, batch_size=128)
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
[INFO]: Device: cuda
==> Building model..
Train Loss: 1.844 | Acc: 33.954% (16977/50000)
Validate Loss: 1.500 | Acc: 45.810% (4581/10000)
Train Loss: 1.293 | Acc: 53.292% (26646/50000)
Validate Loss: 1.153 | Acc: 58.110% (5811/10000)
Train Loss: 1.003 | Acc: 64.508% (32254/50000)
Validate Loss: 0.951 | Acc: 66.530% (6653/10000)
Train Loss: 0.801 | Acc: 71.784% (35892/50000)
Validate Loss: 0.794 | Acc: 71.960% (7196/10000)
Train Loss: 0.652 | Acc: 77.242% (38621/50000)
Validate Loss: 0.673 | Acc: 76.490% (7649/10000)
Train Loss: 0.558 | Acc: 80.662% (40331/50000)
Validate Loss: 0.659 | Acc: 77.090% (7709/10000)
Train Loss: 0.497 | Acc: 82.852% (41426/50000)
Validate Loss: 0.634 | Acc: 78.470% (7847/10000)
Train Loss: 0.448 | Acc: 84.594% (42297/50000)
Validate Loss: 0.494 | Acc: 82.980% (8298/10000)
Train Loss: 0.410 | Acc: 85.840% (42920/50000)
Validate Loss: 0.501 | Acc: 83.330% (8333/10000)
Train Loss: 0.375 | Acc: 87.016% (43508/50000)
Validate Loss: 0.537 | Acc: 81.450% (8145/10000)
Train Loss: 0.345 | Acc: 88.028% (44014/50000)
Validate Loss: 0.446 | Acc: 84.950% (8495/10000)
Train Loss: 0.315 | Acc: 88.988% (44494/50000)
Validate Loss: 0.474 | Acc: 84.200% (8420/10000)
Train Loss: 0.301 | Acc: 89.560% (44780/50000)
Validate Loss: 0.458 | Acc: 84.290% (8429/10000)
Train Loss: 0.275 | Acc: 90.490% (45245/50000)
Validate Loss: 0.441 | Acc: 85.620% (8562/10000)
Train Loss: 0.257 | Acc: 91.116% (45558/50000)
Validate Loss: 0.394 | Acc: 86.570% (8657/10000)
Train Loss: 0.246 | Acc: 91.538% (45769/50000)
Validate Loss: 0.394 | Acc: 86.730% (8673/10000)
Train Loss: 0.238 | Acc: 91.750% (45875/50000)
Validate Loss: 0.413 | Acc: 86.590% (8659/10000)
Train Loss: 0.224 | Acc: 92.254% (46127/50000)
Validate Loss: 0.394 | Acc: 87.340% (8734/10000)
Train Loss: 0.209 | Acc: 92.798% (46399/50000)
Validate Loss: 0.391 | Acc: 87.540% (8754/10000)
Train Loss: 0.200 | Acc: 92.964% (46482/50000)
Validate Loss: 0.408 | Acc: 87.430% (8743/10000)
Train Loss: 0.195 | Acc: 93.194% (46597/50000)
Validate Loss: 0.356 | Acc: 88.450% (8845/10000)
Train Loss: 0.187 | Acc: 93.366% (46683/50000)
Validate Loss: 0.372 | Acc: 87.970% (8797/10000)
Train Loss: 0.178 | Acc: 93.760% (46880/50000)
Validate Loss: 0.324 | Acc: 89.360% (8936/10000)
Train Loss: 0.166 | Acc: 94.202% (47101/50000)
Validate Loss: 0.335 | Acc: 89.130% (8913/10000)
Train Loss: 0.159 | Acc: 94.416% (47208/50000)
Validate Loss: 0.357 | Acc: 88.880% (8888/10000)
Train Loss: 0.156 | Acc: 94.588% (47294/50000)
Validate Loss: 0.314 | Acc: 89.610% (8961/10000)
Train Loss: 0.147 | Acc: 94.942% (47471/50000)
Validate Loss: 0.374 | Acc: 88.510% (8851/10000)
Train Loss: 0.144 | Acc: 94.936% (47468/50000)
