Namespace(lr=0.01, optim='sgd', num_workers=4, data_path='/scratch/yl7897/dataset', cpu_only=False, batch_size=128)
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
[INFO]: Device: cuda
==> Building model..
Train Loss: 0.085 | Acc: 97.006% (48503/50000)
Validate Loss: 0.336 | Acc: 90.430% (9043/10000)
Train Loss: 0.083 | Acc: 97.134% (48567/50000)
Validate Loss: 0.377 | Acc: 89.410% (8941/10000)
Train Loss: 0.078 | Acc: 97.292% (48646/50000)
Validate Loss: 0.302 | Acc: 90.850% (9085/10000)
Train Loss: 0.076 | Acc: 97.320% (48660/50000)
Validate Loss: 0.368 | Acc: 89.510% (8951/10000)
Train Loss: 0.076 | Acc: 97.378% (48689/50000)
Validate Loss: 0.333 | Acc: 90.630% (9063/10000)
Train Loss: 0.078 | Acc: 97.224% (48612/50000)
Validate Loss: 0.346 | Acc: 89.960% (8996/10000)
Train Loss: 0.081 | Acc: 97.126% (48563/50000)
Validate Loss: 0.320 | Acc: 90.750% (9075/10000)
Train Loss: 0.075 | Acc: 97.370% (48685/50000)
Validate Loss: 0.363 | Acc: 90.020% (9002/10000)
Train Loss: 0.079 | Acc: 97.206% (48603/50000)
Validate Loss: 0.311 | Acc: 90.700% (9070/10000)
Train Loss: 0.070 | Acc: 97.514% (48757/50000)
Validate Loss: 0.347 | Acc: 90.340% (9034/10000)
Train Loss: 0.072 | Acc: 97.504% (48752/50000)
Validate Loss: 0.330 | Acc: 90.950% (9095/10000)
Train Loss: 0.074 | Acc: 97.414% (48707/50000)
Validate Loss: 0.310 | Acc: 91.150% (9115/10000)
Train Loss: 0.075 | Acc: 97.304% (48652/50000)
Validate Loss: 0.300 | Acc: 91.120% (9112/10000)
Train Loss: 0.071 | Acc: 97.516% (48758/50000)
Validate Loss: 0.311 | Acc: 90.880% (9088/10000)
Train Loss: 0.074 | Acc: 97.366% (48683/50000)
Validate Loss: 0.326 | Acc: 90.680% (9068/10000)
Train Loss: 0.068 | Acc: 97.682% (48841/50000)
Validate Loss: 0.335 | Acc: 90.320% (9032/10000)
Train Loss: 0.076 | Acc: 97.364% (48682/50000)
Validate Loss: 0.326 | Acc: 90.460% (9046/10000)
Train Loss: 0.069 | Acc: 97.548% (48774/50000)
Validate Loss: 0.300 | Acc: 91.270% (9127/10000)
Train Loss: 0.067 | Acc: 97.686% (48843/50000)
Validate Loss: 0.320 | Acc: 90.870% (9087/10000)
Train Loss: 0.069 | Acc: 97.586% (48793/50000)
Validate Loss: 0.313 | Acc: 91.240% (9124/10000)
Train Loss: 0.066 | Acc: 97.712% (48856/50000)
Validate Loss: 0.315 | Acc: 91.280% (9128/10000)
Train Loss: 0.066 | Acc: 97.652% (48826/50000)
Validate Loss: 0.322 | Acc: 90.600% (9060/10000)
