Namespace(lr=0.01, optim='sgd', num_workers=4, data_path='/scratch/yl7897/dataset', cpu_only=False, batch_size=128)
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
[INFO]: Device: cuda
==> Building model..
Train Loss: 1.791 | Acc: 35.612% (17806/50000)
Validate Loss: 1.465 | Acc: 47.130% (4713/10000)
Train Loss: 1.222 | Acc: 56.168% (28084/50000)
Validate Loss: 1.066 | Acc: 62.060% (6206/10000)
Train Loss: 0.930 | Acc: 67.188% (33594/50000)
Validate Loss: 0.989 | Acc: 68.580% (6858/10000)
Train Loss: 0.742 | Acc: 74.304% (37152/50000)
Validate Loss: 0.704 | Acc: 75.490% (7549/10000)
Train Loss: 0.615 | Acc: 78.776% (39388/50000)
Validate Loss: 0.649 | Acc: 78.140% (7814/10000)
Train Loss: 0.538 | Acc: 81.654% (40827/50000)
Validate Loss: 0.611 | Acc: 80.640% (8064/10000)
Train Loss: 0.474 | Acc: 83.670% (41835/50000)
Validate Loss: 0.532 | Acc: 81.930% (8193/10000)
Train Loss: 0.434 | Acc: 85.188% (42594/50000)
Validate Loss: 0.526 | Acc: 82.840% (8284/10000)
Train Loss: 0.387 | Acc: 86.626% (43313/50000)
Validate Loss: 0.451 | Acc: 84.400% (8440/10000)
Train Loss: 0.361 | Acc: 87.544% (43772/50000)
Validate Loss: 0.452 | Acc: 84.780% (8478/10000)
Train Loss: 0.334 | Acc: 88.454% (44227/50000)
Validate Loss: 0.418 | Acc: 85.720% (8572/10000)
Train Loss: 0.310 | Acc: 89.338% (44669/50000)
Validate Loss: 0.406 | Acc: 86.180% (8618/10000)
Train Loss: 0.288 | Acc: 89.938% (44969/50000)
Validate Loss: 0.416 | Acc: 85.970% (8597/10000)
Train Loss: 0.272 | Acc: 90.602% (45301/50000)
Validate Loss: 0.412 | Acc: 86.280% (8628/10000)
Train Loss: 0.256 | Acc: 91.064% (45532/50000)
Validate Loss: 0.421 | Acc: 86.130% (8613/10000)
Train Loss: 0.241 | Acc: 91.668% (45834/50000)
Validate Loss: 0.369 | Acc: 87.860% (8786/10000)
Train Loss: 0.227 | Acc: 92.168% (46084/50000)
Validate Loss: 0.413 | Acc: 86.410% (8641/10000)
Train Loss: 0.215 | Acc: 92.554% (46277/50000)
Validate Loss: 0.422 | Acc: 85.770% (8577/10000)
Train Loss: 0.206 | Acc: 92.732% (46366/50000)
Validate Loss: 0.398 | Acc: 87.460% (8746/10000)
Train Loss: 0.200 | Acc: 93.026% (46513/50000)
Validate Loss: 0.368 | Acc: 88.180% (8818/10000)
Train Loss: 0.185 | Acc: 93.528% (46764/50000)
Validate Loss: 0.351 | Acc: 88.690% (8869/10000)
Train Loss: 0.179 | Acc: 93.654% (46827/50000)
Validate Loss: 0.385 | Acc: 88.100% (8810/10000)
Train Loss: 0.175 | Acc: 93.916% (46958/50000)
Validate Loss: 0.379 | Acc: 88.010% (8801/10000)
Train Loss: 0.170 | Acc: 93.988% (46994/50000)
Validate Loss: 0.326 | Acc: 89.290% (8929/10000)
Train Loss: 0.156 | Acc: 94.542% (47271/50000)
