Namespace(lr=0.01, optim='sgd', num_workers=4, data_path='/scratch/yl7897/dataset', cpu_only=False, batch_size=128)
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
[INFO]: Device: cuda
==> Building model..
Train Loss: 1.805 | Acc: 35.262% (17631/50000)
Validate Loss: 1.473 | Acc: 47.770% (4777/10000)
Train Loss: 1.246 | Acc: 54.972% (27486/50000)
Validate Loss: 1.277 | Acc: 57.210% (5721/10000)
Train Loss: 0.986 | Acc: 65.174% (32587/50000)
Validate Loss: 0.966 | Acc: 66.630% (6663/10000)
Train Loss: 0.792 | Acc: 72.364% (36182/50000)
Validate Loss: 0.979 | Acc: 69.790% (6979/10000)
Train Loss: 0.635 | Acc: 78.100% (39050/50000)
Validate Loss: 0.721 | Acc: 75.540% (7554/10000)
Train Loss: 0.546 | Acc: 81.092% (40546/50000)
Validate Loss: 0.608 | Acc: 79.890% (7989/10000)
Train Loss: 0.481 | Acc: 83.314% (41657/50000)
Validate Loss: 0.546 | Acc: 81.040% (8104/10000)
Train Loss: 0.437 | Acc: 84.728% (42364/50000)
Validate Loss: 0.546 | Acc: 81.620% (8162/10000)
Train Loss: 0.399 | Acc: 86.312% (43156/50000)
Validate Loss: 0.518 | Acc: 81.700% (8170/10000)
Train Loss: 0.360 | Acc: 87.468% (43734/50000)
Validate Loss: 0.457 | Acc: 84.820% (8482/10000)
Train Loss: 0.336 | Acc: 88.348% (44174/50000)
Validate Loss: 0.495 | Acc: 82.800% (8280/10000)
Train Loss: 0.308 | Acc: 89.354% (44677/50000)
Validate Loss: 0.466 | Acc: 84.520% (8452/10000)
Train Loss: 0.285 | Acc: 90.048% (45024/50000)
Validate Loss: 0.400 | Acc: 86.250% (8625/10000)
Train Loss: 0.274 | Acc: 90.590% (45295/50000)
Validate Loss: 0.416 | Acc: 85.880% (8588/10000)
Train Loss: 0.260 | Acc: 90.976% (45488/50000)
Validate Loss: 0.561 | Acc: 83.280% (8328/10000)
Train Loss: 0.243 | Acc: 91.638% (45819/50000)
Validate Loss: 0.374 | Acc: 87.170% (8717/10000)
Train Loss: 0.226 | Acc: 92.112% (46056/50000)
Validate Loss: 0.426 | Acc: 86.250% (8625/10000)
Train Loss: 0.213 | Acc: 92.546% (46273/50000)
Validate Loss: 0.341 | Acc: 88.520% (8852/10000)
Train Loss: 0.213 | Acc: 92.494% (46247/50000)
Validate Loss: 0.381 | Acc: 87.930% (8793/10000)
Train Loss: 0.198 | Acc: 92.988% (46494/50000)
Validate Loss: 0.369 | Acc: 88.190% (8819/10000)
Train Loss: 0.184 | Acc: 93.652% (46826/50000)
Validate Loss: 0.394 | Acc: 87.650% (8765/10000)
Train Loss: 0.174 | Acc: 93.770% (46885/50000)
Validate Loss: 0.374 | Acc: 88.160% (8816/10000)
Train Loss: 0.173 | Acc: 93.952% (46976/50000)
Validate Loss: 0.378 | Acc: 88.530% (8853/10000)
Train Loss: 0.164 | Acc: 94.198% (47099/50000)
Validate Loss: 0.348 | Acc: 89.140% (8914/10000)
Train Loss: 0.159 | Acc: 94.458% (47229/50000)
Validate Loss: 0.347 | Acc: 88.570% (8857/10000)
Train Loss: 0.153 | Acc: 94.620% (47310/50000)
Validate Loss: 0.391 | Acc: 87.830% (8783/10000)
Train Loss: 0.150 | Acc: 94.724% (47362/50000)
Validate Loss: 0.370 | Acc: 87.990% (8799/10000)
Train Loss: 0.145 | Acc: 94.994% (47497/50000)
Validate Loss: 0.407 | Acc: 87.100% (8710/10000)
Train Loss: 0.139 | Acc: 95.078% (47539/50000)
Validate Loss: 0.459 | Acc: 87.350% (8735/10000)
Train Loss: 0.133 | Acc: 95.316% (47658/50000)
Validate Loss: 0.392 | Acc: 88.520% (8852/10000)
Train Loss: 0.129 | Acc: 95.410% (47705/50000)
Validate Loss: 0.365 | Acc: 88.980% (8898/10000)
Train Loss: 0.125 | Acc: 95.528% (47764/50000)
Validate Loss: 0.348 | Acc: 89.450% (8945/10000)
Train Loss: 0.124 | Acc: 95.552% (47776/50000)
Validate Loss: 0.351 | Acc: 89.590% (8959/10000)
Train Loss: 0.121 | Acc: 95.724% (47862/50000)
Validate Loss: 0.351 | Acc: 89.560% (8956/10000)
Train Loss: 0.113 | Acc: 96.066% (48033/50000)
Validate Loss: 0.332 | Acc: 90.160% (9016/10000)
Train Loss: 0.118 | Acc: 95.838% (47919/50000)
Validate Loss: 0.335 | Acc: 89.620% (8962/10000)
Train Loss: 0.112 | Acc: 96.052% (48026/50000)
Validate Loss: 0.338 | Acc: 89.770% (8977/10000)
Train Loss: 0.102 | Acc: 96.358% (48179/50000)
Validate Loss: 0.394 | Acc: 88.980% (8898/10000)
Train Loss: 0.107 | Acc: 96.208% (48104/50000)
Validate Loss: 0.369 | Acc: 89.390% (8939/10000)
Train Loss: 0.105 | Acc: 96.308% (48154/50000)
Validate Loss: 0.354 | Acc: 90.040% (9004/10000)
Train Loss: 0.106 | Acc: 96.326% (48163/50000)
Validate Loss: 0.392 | Acc: 88.460% (8846/10000)
Train Loss: 0.100 | Acc: 96.488% (48244/50000)
Validate Loss: 0.310 | Acc: 90.630% (9063/10000)
Train Loss: 0.098 | Acc: 96.586% (48293/50000)
Validate Loss: 0.358 | Acc: 89.590% (8959/10000)
Train Loss: 0.096 | Acc: 96.588% (48294/50000)
Validate Loss: 0.412 | Acc: 87.880% (8788/10000)
Train Loss: 0.096 | Acc: 96.516% (48258/50000)
Validate Loss: 0.323 | Acc: 90.280% (9028/10000)
Train Loss: 0.093 | Acc: 96.846% (48423/50000)
Validate Loss: 0.313 | Acc: 90.700% (9070/10000)
Train Loss: 0.094 | Acc: 96.658% (48329/50000)
Validate Loss: 0.318 | Acc: 90.320% (9032/10000)
Train Loss: 0.091 | Acc: 96.694% (48347/50000)
Validate Loss: 0.314 | Acc: 90.550% (9055/10000)
Train Loss: 0.089 | Acc: 96.850% (48425/50000)
Validate Loss: 0.311 | Acc: 90.930% (9093/10000)
Train Loss: 0.084 | Acc: 97.072% (48536/50000)
Validate Loss: 0.347 | Acc: 89.630% (8963/10000)
Train Loss: 0.084 | Acc: 97.104% (48552/50000)
Validate Loss: 0.345 | Acc: 90.210% (9021/10000)
Train Loss: 0.085 | Acc: 96.954% (48477/50000)
Validate Loss: 0.384 | Acc: 89.520% (8952/10000)
Train Loss: 0.084 | Acc: 97.048% (48524/50000)
Validate Loss: 0.356 | Acc: 90.150% (9015/10000)
Train Loss: 0.080 | Acc: 97.148% (48574/50000)
Validate Loss: 0.344 | Acc: 90.310% (9031/10000)
Train Loss: 0.083 | Acc: 97.040% (48520/50000)
Validate Loss: 0.361 | Acc: 89.590% (8959/10000)
Train Loss: 0.081 | Acc: 97.162% (48581/50000)
Validate Loss: 0.328 | Acc: 90.440% (9044/10000)
Train Loss: 0.078 | Acc: 97.232% (48616/50000)
Validate Loss: 0.331 | Acc: 90.710% (9071/10000)
Train Loss: 0.082 | Acc: 97.134% (48567/50000)
Validate Loss: 0.354 | Acc: 90.670% (9067/10000)
Train Loss: 0.079 | Acc: 97.196% (48598/50000)
Validate Loss: 0.297 | Acc: 91.200% (9120/10000)
Train Loss: 0.076 | Acc: 97.318% (48659/50000)
Validate Loss: 0.358 | Acc: 89.340% (8934/10000)
Train Loss: 0.070 | Acc: 97.628% (48814/50000)
Validate Loss: 0.311 | Acc: 90.870% (9087/10000)
Train Loss: 0.074 | Acc: 97.452% (48726/50000)
Validate Loss: 0.342 | Acc: 90.640% (9064/10000)
Train Loss: 0.072 | Acc: 97.506% (48753/50000)
Validate Loss: 0.342 | Acc: 90.330% (9033/10000)
Train Loss: 0.076 | Acc: 97.332% (48666/50000)
Validate Loss: 0.331 | Acc: 90.370% (9037/10000)
Train Loss: 0.070 | Acc: 97.558% (48779/50000)
Validate Loss: 0.356 | Acc: 90.500% (9050/10000)
Train Loss: 0.073 | Acc: 97.488% (48744/50000)
Validate Loss: 0.317 | Acc: 90.730% (9073/10000)
Train Loss: 0.068 | Acc: 97.586% (48793/50000)
Validate Loss: 0.329 | Acc: 91.070% (9107/10000)
Train Loss: 0.071 | Acc: 97.548% (48774/50000)
Validate Loss: 0.305 | Acc: 91.240% (9124/10000)
Train Loss: 0.070 | Acc: 97.544% (48772/50000)
Validate Loss: 0.285 | Acc: 91.290% (9129/10000)
Train Loss: 0.070 | Acc: 97.560% (48780/50000)
Validate Loss: 0.334 | Acc: 90.140% (9014/10000)
Train Loss: 0.071 | Acc: 97.530% (48765/50000)
Validate Loss: 0.311 | Acc: 91.120% (9112/10000)
Train Loss: 0.065 | Acc: 97.738% (48869/50000)
Validate Loss: 0.322 | Acc: 91.210% (9121/10000)
Train Loss: 0.070 | Acc: 97.554% (48777/50000)
Validate Loss: 0.300 | Acc: 91.600% (9160/10000)
Train Loss: 0.072 | Acc: 97.538% (48769/50000)
Validate Loss: 0.304 | Acc: 91.620% (9162/10000)
Train Loss: 0.070 | Acc: 97.560% (48780/50000)
Validate Loss: 0.334 | Acc: 90.450% (9045/10000)
Train Loss: 0.065 | Acc: 97.764% (48882/50000)
Validate Loss: 0.324 | Acc: 90.760% (9076/10000)
Train Loss: 0.070 | Acc: 97.554% (48777/50000)
Validate Loss: 0.330 | Acc: 90.730% (9073/10000)
Train Loss: 0.066 | Acc: 97.720% (48860/50000)
Validate Loss: 0.315 | Acc: 90.570% (9057/10000)
Train Loss: 0.070 | Acc: 97.550% (48775/50000)
Validate Loss: 0.293 | Acc: 91.260% (9126/10000)
Train Loss: 0.064 | Acc: 97.744% (48872/50000)
Validate Loss: 0.330 | Acc: 90.720% (9072/10000)
Train Loss: 0.066 | Acc: 97.646% (48823/50000)
Validate Loss: 0.311 | Acc: 91.310% (9131/10000)
Train Loss: 0.064 | Acc: 97.800% (48900/50000)
Validate Loss: 0.294 | Acc: 91.330% (9133/10000)
Train Loss: 0.068 | Acc: 97.604% (48802/50000)
Validate Loss: 0.335 | Acc: 90.500% (9050/10000)
Train Loss: 0.067 | Acc: 97.624% (48812/50000)
Validate Loss: 0.369 | Acc: 89.990% (8999/10000)
Train Loss: 0.066 | Acc: 97.644% (48822/50000)
Validate Loss: 0.305 | Acc: 91.040% (9104/10000)
Train Loss: 0.062 | Acc: 97.906% (48953/50000)
Validate Loss: 0.309 | Acc: 91.600% (9160/10000)
Train Loss: 0.065 | Acc: 97.778% (48889/50000)
Validate Loss: 0.326 | Acc: 90.950% (9095/10000)
Train Loss: 0.064 | Acc: 97.774% (48887/50000)
Validate Loss: 0.325 | Acc: 91.100% (9110/10000)
Train Loss: 0.067 | Acc: 97.684% (48842/50000)
Validate Loss: 0.337 | Acc: 90.690% (9069/10000)
Train Loss: 0.063 | Acc: 97.832% (48916/50000)
Validate Loss: 0.291 | Acc: 91.860% (9186/10000)
Train Loss: 0.065 | Acc: 97.784% (48892/50000)
Validate Loss: 0.317 | Acc: 90.830% (9083/10000)
Train Loss: 0.062 | Acc: 97.916% (48958/50000)
Validate Loss: 0.299 | Acc: 91.520% (9152/10000)
Train Loss: 0.063 | Acc: 97.808% (48904/50000)
Validate Loss: 0.332 | Acc: 90.690% (9069/10000)
Train Loss: 0.066 | Acc: 97.766% (48883/50000)
Validate Loss: 0.289 | Acc: 91.370% (9137/10000)
Train Loss: 0.065 | Acc: 97.772% (48886/50000)
Validate Loss: 0.272 | Acc: 92.260% (9226/10000)
Total training time:  3398.5948667936027 Epoch:  95
