Namespace(lr=0.01, optim='sgd', num_workers=4, data_path='/scratch/yl7897/dataset', cpu_only=False, batch_size=128)
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
[INFO]: Device: cuda
==> Building model..
Train Loss: 1.824 | Acc: 34.930% (17465/50000)
Validate Loss: 1.428 | Acc: 47.810% (4781/10000)
Train Loss: 1.262 | Acc: 54.574% (27287/50000)
Validate Loss: 1.073 | Acc: 62.830% (6283/10000)
Train Loss: 0.951 | Acc: 66.300% (33150/50000)
Validate Loss: 0.930 | Acc: 68.490% (6849/10000)
Train Loss: 0.772 | Acc: 73.006% (36503/50000)
Validate Loss: 0.801 | Acc: 72.690% (7269/10000)
Train Loss: 0.647 | Acc: 77.564% (38782/50000)
Validate Loss: 0.653 | Acc: 77.720% (7772/10000)
Train Loss: 0.547 | Acc: 81.036% (40518/50000)
Validate Loss: 0.638 | Acc: 78.260% (7826/10000)
Train Loss: 0.494 | Acc: 82.916% (41458/50000)
Validate Loss: 0.647 | Acc: 78.290% (7829/10000)
Train Loss: 0.439 | Acc: 84.888% (42444/50000)
Validate Loss: 0.537 | Acc: 81.670% (8167/10000)
Train Loss: 0.403 | Acc: 86.178% (43089/50000)
Validate Loss: 0.488 | Acc: 83.560% (8356/10000)
Train Loss: 0.371 | Acc: 87.264% (43632/50000)
Validate Loss: 0.443 | Acc: 84.730% (8473/10000)
Train Loss: 0.340 | Acc: 88.122% (44061/50000)
Validate Loss: 0.557 | Acc: 81.370% (8137/10000)
Train Loss: 0.318 | Acc: 88.850% (44425/50000)
Validate Loss: 0.535 | Acc: 83.070% (8307/10000)
Train Loss: 0.294 | Acc: 89.814% (44907/50000)
Validate Loss: 0.510 | Acc: 83.250% (8325/10000)
Train Loss: 0.276 | Acc: 90.558% (45279/50000)
Validate Loss: 0.462 | Acc: 85.100% (8510/10000)
Train Loss: 0.265 | Acc: 90.748% (45374/50000)
Validate Loss: 0.448 | Acc: 85.600% (8560/10000)
Train Loss: 0.243 | Acc: 91.470% (45735/50000)
Validate Loss: 0.469 | Acc: 85.170% (8517/10000)
Train Loss: 0.230 | Acc: 91.976% (45988/50000)
Validate Loss: 0.428 | Acc: 86.410% (8641/10000)
Train Loss: 0.224 | Acc: 92.320% (46160/50000)
Validate Loss: 0.368 | Acc: 88.200% (8820/10000)
Train Loss: 0.210 | Acc: 92.618% (46309/50000)
Validate Loss: 0.364 | Acc: 88.490% (8849/10000)
Train Loss: 0.200 | Acc: 92.990% (46495/50000)
Validate Loss: 0.340 | Acc: 89.290% (8929/10000)
Train Loss: 0.192 | Acc: 93.108% (46554/50000)
Validate Loss: 0.394 | Acc: 87.380% (8738/10000)
Train Loss: 0.180 | Acc: 93.718% (46859/50000)
Validate Loss: 0.395 | Acc: 87.990% (8799/10000)
Train Loss: 0.168 | Acc: 94.104% (47052/50000)
Validate Loss: 0.350 | Acc: 88.850% (8885/10000)
Train Loss: 0.168 | Acc: 94.030% (47015/50000)
Validate Loss: 0.372 | Acc: 88.170% (8817/10000)
Train Loss: 0.158 | Acc: 94.466% (47233/50000)
Validate Loss: 0.362 | Acc: 88.760% (8876/10000)
Train Loss: 0.160 | Acc: 94.300% (47150/50000)
Validate Loss: 0.375 | Acc: 88.520% (8852/10000)
Train Loss: 0.152 | Acc: 94.614% (47307/50000)
Validate Loss: 0.350 | Acc: 89.210% (8921/10000)
Train Loss: 0.148 | Acc: 94.744% (47372/50000)
Validate Loss: 0.365 | Acc: 88.740% (8874/10000)
Train Loss: 0.141 | Acc: 94.972% (47486/50000)
Validate Loss: 0.383 | Acc: 88.390% (8839/10000)
Train Loss: 0.133 | Acc: 95.330% (47665/50000)
Validate Loss: 0.359 | Acc: 89.540% (8954/10000)
Train Loss: 0.133 | Acc: 95.200% (47600/50000)
Validate Loss: 0.383 | Acc: 88.270% (8827/10000)
Train Loss: 0.129 | Acc: 95.448% (47724/50000)
Validate Loss: 0.335 | Acc: 89.570% (8957/10000)
Train Loss: 0.122 | Acc: 95.766% (47883/50000)
Validate Loss: 0.398 | Acc: 88.750% (8875/10000)
Train Loss: 0.116 | Acc: 95.960% (47980/50000)
Validate Loss: 0.327 | Acc: 90.060% (9006/10000)
Train Loss: 0.113 | Acc: 95.992% (47996/50000)
Validate Loss: 0.370 | Acc: 89.010% (8901/10000)
