Namespace(lr=0.01, optim='sgd', num_workers=4, data_path='/scratch/yl7897/dataset', cpu_only=False, batch_size=128)
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
[INFO]: Device: cuda
==> Building model..
Train Loss: 1.869 | Acc: 33.842% (16921/50000)
Validate Loss: 1.387 | Acc: 47.670% (4767/10000)
Train Loss: 1.247 | Acc: 54.862% (27431/50000)
Validate Loss: 1.051 | Acc: 62.810% (6281/10000)
Train Loss: 0.948 | Acc: 66.502% (33251/50000)
Validate Loss: 0.946 | Acc: 67.190% (6719/10000)
Train Loss: 0.768 | Acc: 73.136% (36568/50000)
Validate Loss: 0.760 | Acc: 74.060% (7406/10000)
Train Loss: 0.634 | Acc: 78.008% (39004/50000)
Validate Loss: 0.629 | Acc: 78.200% (7820/10000)
Train Loss: 0.547 | Acc: 81.248% (40624/50000)
Validate Loss: 0.690 | Acc: 77.190% (7719/10000)
Train Loss: 0.486 | Acc: 83.356% (41678/50000)
Validate Loss: 0.514 | Acc: 82.510% (8251/10000)
Train Loss: 0.438 | Acc: 85.052% (42526/50000)
Validate Loss: 0.512 | Acc: 82.160% (8216/10000)
Train Loss: 0.400 | Acc: 86.262% (43131/50000)
Validate Loss: 0.465 | Acc: 84.150% (8415/10000)
Train Loss: 0.366 | Acc: 87.388% (43694/50000)
Validate Loss: 0.467 | Acc: 84.610% (8461/10000)
Train Loss: 0.339 | Acc: 88.302% (44151/50000)
Validate Loss: 0.522 | Acc: 82.480% (8248/10000)
Train Loss: 0.315 | Acc: 89.090% (44545/50000)
Validate Loss: 0.468 | Acc: 84.460% (8446/10000)
Train Loss: 0.299 | Acc: 89.550% (44775/50000)
Validate Loss: 0.479 | Acc: 83.690% (8369/10000)
Train Loss: 0.277 | Acc: 90.414% (45207/50000)
Validate Loss: 0.473 | Acc: 84.530% (8453/10000)
Train Loss: 0.260 | Acc: 90.970% (45485/50000)
Validate Loss: 0.393 | Acc: 86.630% (8663/10000)
Train Loss: 0.243 | Acc: 91.474% (45737/50000)
Validate Loss: 0.476 | Acc: 84.670% (8467/10000)
Train Loss: 0.230 | Acc: 91.996% (45998/50000)
Validate Loss: 0.382 | Acc: 87.180% (8718/10000)
Train Loss: 0.221 | Acc: 92.424% (46212/50000)
Validate Loss: 0.406 | Acc: 86.310% (8631/10000)
Train Loss: 0.212 | Acc: 92.604% (46302/50000)
Validate Loss: 0.394 | Acc: 87.350% (8735/10000)
Train Loss: 0.202 | Acc: 92.902% (46451/50000)
Validate Loss: 0.372 | Acc: 87.920% (8792/10000)
Train Loss: 0.191 | Acc: 93.196% (46598/50000)
Validate Loss: 0.392 | Acc: 87.070% (8707/10000)
Train Loss: 0.192 | Acc: 93.276% (46638/50000)
Validate Loss: 0.365 | Acc: 88.000% (8800/10000)
Train Loss: 0.174 | Acc: 93.830% (46915/50000)
Validate Loss: 0.391 | Acc: 87.970% (8797/10000)
Train Loss: 0.170 | Acc: 93.932% (46966/50000)
Validate Loss: 0.402 | Acc: 87.690% (8769/10000)
Train Loss: 0.162 | Acc: 94.314% (47157/50000)
Validate Loss: 0.371 | Acc: 88.340% (8834/10000)
Train Loss: 0.149 | Acc: 94.774% (47387/50000)
Validate Loss: 0.325 | Acc: 89.730% (8973/10000)
Train Loss: 0.146 | Acc: 94.982% (47491/50000)
Validate Loss: 0.355 | Acc: 88.880% (8888/10000)
Train Loss: 0.146 | Acc: 94.878% (47439/50000)
Validate Loss: 0.317 | Acc: 90.170% (9017/10000)
Train Loss: 0.139 | Acc: 95.070% (47535/50000)
Validate Loss: 0.324 | Acc: 89.930% (8993/10000)
Train Loss: 0.134 | Acc: 95.272% (47636/50000)
Validate Loss: 0.397 | Acc: 87.750% (8775/10000)
Train Loss: 0.128 | Acc: 95.496% (47748/50000)
Validate Loss: 0.334 | Acc: 89.730% (8973/10000)
Train Loss: 0.128 | Acc: 95.406% (47703/50000)
Validate Loss: 0.363 | Acc: 89.000% (8900/10000)
Train Loss: 0.125 | Acc: 95.468% (47734/50000)
Validate Loss: 0.341 | Acc: 89.710% (8971/10000)
Train Loss: 0.119 | Acc: 95.900% (47950/50000)
Validate Loss: 0.342 | Acc: 89.980% (8998/10000)
Train Loss: 0.117 | Acc: 95.860% (47930/50000)
Validate Loss: 0.350 | Acc: 89.610% (8961/10000)
Train Loss: 0.110 | Acc: 96.144% (48072/50000)
Validate Loss: 0.366 | Acc: 89.140% (8914/10000)
Train Loss: 0.108 | Acc: 96.234% (48117/50000)
Validate Loss: 0.321 | Acc: 90.360% (9036/10000)
Train Loss: 0.109 | Acc: 96.178% (48089/50000)
Validate Loss: 0.366 | Acc: 89.300% (8930/10000)
Train Loss: 0.110 | Acc: 96.124% (48062/50000)
Validate Loss: 0.319 | Acc: 90.570% (9057/10000)
Train Loss: 0.103 | Acc: 96.370% (48185/50000)
Validate Loss: 0.366 | Acc: 89.080% (8908/10000)
Train Loss: 0.097 | Acc: 96.710% (48355/50000)
Validate Loss: 0.371 | Acc: 89.360% (8936/10000)
Train Loss: 0.102 | Acc: 96.370% (48185/50000)
Validate Loss: 0.335 | Acc: 90.080% (9008/10000)
Train Loss: 0.095 | Acc: 96.654% (48327/50000)
Validate Loss: 0.396 | Acc: 88.800% (8880/10000)
Train Loss: 0.097 | Acc: 96.600% (48300/50000)
Validate Loss: 0.348 | Acc: 89.940% (8994/10000)
Train Loss: 0.097 | Acc: 96.528% (48264/50000)
Validate Loss: 0.369 | Acc: 90.000% (9000/10000)
Train Loss: 0.093 | Acc: 96.716% (48358/50000)
Validate Loss: 0.367 | Acc: 89.550% (8955/10000)
Train Loss: 0.089 | Acc: 96.864% (48432/50000)
Validate Loss: 0.310 | Acc: 90.720% (9072/10000)
Train Loss: 0.087 | Acc: 96.938% (48469/50000)
Validate Loss: 0.355 | Acc: 89.720% (8972/10000)
Train Loss: 0.090 | Acc: 96.778% (48389/50000)
Validate Loss: 0.341 | Acc: 89.650% (8965/10000)
Train Loss: 0.088 | Acc: 96.978% (48489/50000)
Validate Loss: 0.350 | Acc: 89.930% (8993/10000)
Train Loss: 0.083 | Acc: 97.066% (48533/50000)
Validate Loss: 0.345 | Acc: 90.090% (9009/10000)
Train Loss: 0.080 | Acc: 97.228% (48614/50000)
Validate Loss: 0.323 | Acc: 90.650% (9065/10000)
Train Loss: 0.081 | Acc: 97.212% (48606/50000)
Validate Loss: 0.331 | Acc: 90.450% (9045/10000)
Train Loss: 0.080 | Acc: 97.152% (48576/50000)
Validate Loss: 0.387 | Acc: 89.920% (8992/10000)
Train Loss: 0.076 | Acc: 97.332% (48666/50000)
Validate Loss: 0.340 | Acc: 90.460% (9046/10000)
Train Loss: 0.080 | Acc: 97.202% (48601/50000)
Validate Loss: 0.322 | Acc: 90.640% (9064/10000)
